id_ville;ville;code_postal
996;Pargny-Filain;2000
997;Pargny-la-Dhuys;2330
998;Pargny-les-Bois;2270
999;Parpeville;2240
1000;Pasly;2200
1001;Passy-en-Valois;2470
1002;Passy-sur-Marne;2850
1003;Pavant;2310
1004;Perles;2160
1005;Pernant;2200
1006;Pierremande;2300
1007;Pierrepont;2350
1008;Pignicourt;2190
1009;Pinon;2320
1010;Pithon;2480
1011;Pleine-Selve;2240
1012;Le Plessier-Huleu;2210
1013;Ploisy;2200
1014;Plomion;2140
1015;Ployart-et-Vaurseine;2860
1016;Pommiers;2200
1017;Pont-Arcy;2160
1018;Pontavert;2160
1019;Pontru;2490
1020;Pontruet;2490
1021;Pont-Saint-Mard;2380
1022;Pouilly-sur-Serre;2270
1023;Prémont;2110
1024;Prémontré;2320
1025;Presles-et-Boves;2370
1026;Presles-et-Thierny;2860
1027;Priez;2470
1028;Prisces;2140
1029;Proisy;2120
1030;Proix;2120
1031;Prouvais;2190
1032;Proviseux-et-Plesnoy;2190
1033;Puiseux-en-Retz;2600
1034;Puisieux-et-Clanlieu;2120
1035;Quierzy;2300
1036;Quincy-Basse;2380
1037;Quincy-sous-le-Mont;2220
1038;Raillimont;2360
1039;Ramicourt;2110
1040;Regny;2240
1041;Remaucourt;2100
1042;Remies;2270
1043;Remigny;2440
1044;Renansart;2240
1045;Renneval;2340
1046;Résigny;2360
1047;Ressons-le-Long;2290
1048;Retheuil;2600
1049;Reuilly-Sauvigny;2850
