id_vile;ville;code_postal
820;MARTIGNAS SUR JALLE;33127
821;MAZERES;33210
822;MAZION;33390
823;MIOS;33380
824;MONTAGNE;33570
825;MONTUSSAN;33450
826;NAUJAN ET POSTIAC;33420
827;NERIGEAN;33750
828;NEUFFONS;33580
829;NOAILLAN;33730
830;PAREMPUYRE;33290
831;PERISSAC;33240
832;LE PIAN SUR GARONNE;33490
833;PINEUILH;33220
834;POMEROL;33500
835;PREIGNAC;33210
836;PUGNAC;33710
837;PUJOLS SUR CIRON;33210
838;RAUZAN;33420
839;RUCH;33350
840;SABLONS;33910
841;ST ANDRE ET APPELLES;33220
842;ST AVIT ST NAZAIRE;33220
843;ST AVIT ST NAZAIRE;33220
844;ST BRICE;33540
845;ST CHRISTOPHE DES BARDES;33330
846;ST CIERS SUR GIRONDE;33820
847;ST FELIX DE FONCAUDE;33540
848;STE FLORENCE;33350
849;STE FOY LA LONGUE;33490
850;STE GEMME;33580
851;ST GERMAIN DU PUCH;33750
852;ST GIRONS D AIGUEVIVES;33920
853;ST LAURENT DES COMBES;33330
854;ST LAURENT DU BOIS;33540
855;ST LOUBES;33450
856;ST MARTIN LACAUSSADE;33390
857;ST MARTIN DU BOIS;33910
858;ST MEDARD DE GUIZIERES;33230
859;ST MICHEL DE LAPUJADE;33190
860;ST PARDON DE CONQUES;33210
861;ST PEY DE CASTETS;33350
862;ST PIERRE DE BAT;33760
863;ST QUENTIN DE BARON;33750
864;ST QUENTIN DE CAPLONG;33220
865;ST ROMAIN LA VIRVEE;33240
866;ST SAUVEUR;33250
867;ST SAVIN;33920
868;ST SELVE;33650
869;ST SEURIN DE BOURG;33710
870;ST SEURIN DE CADOURNE;33180
871;ST SEVE;33190
872;ST VINCENT DE PERTIGNAS;33420
873;ST YZAN DE SOUDIAC;33920
874;SAMONAC;33710
875;SAUTERNES;33210
876;SOUSSAC;33790
877;LE TAILLAN MEDOC;33320
878;LE TEICH;33470
879;LE TEMPLE;33680
880;LA TESTE DE BUCH;33260
881;TIZAC DE CURTON;33420
882;TRESSES;33370
883;ABEILHAN;34290
884;AGEL;34210
885;ASPIRAN;34800
886;AVENE;34260
887;BALARUC LE VIEUX;34540
888;BERLOU;34360
889;BOISSERON;34160
890;BOUJAN SUR LIBRON;34760
891;LE BOUSQUET D ORB;34260
892;CASTANET LE HAUT;34610
893;CASTELNAU LE LEZ;34170
894;CAZOULS D HERAULT;34120
895;CELLES;34700
896;CLERMONT L HERAULT;34800
897;COMBES;34240
898;COURNONTERRAL;34660
899;LE CRES;34920
900;FERRALS LES MONTAGNES;34210
901;ST MARD SUR AUVE;51800
902;ST MARD LES ROUFFY;51130
903;STE MARIE A PY;51600
904;ST MARTIN AUX CHAMPS;51240
905;ST MEMMIE;51470
906;ST QUENTIN LE VERGER;51120
907;ST REMY SOUS BROYES;51120
908;ST SATURNIN;51260
909;ST THOMAS EN ARGONNE;51800
910;SARCY;51170
911;SAUDOY;51120
912;SCRUPT;51340
913;SILLERY;51500
914;SOIZY AUX BOIS;51120
915;SOMSOIS;51290
916;SOULANGES;51300
917;SUIZY LE FRANC;51270
918;THIL;51220
919;VAL DE VESLE;51360
920;TRIGNY;51140
921;VADENAY;51400
922;VALMY;51800
923;VANAULT LE CHATEL;51330
924;VATRY;51320
925;VAVRAY LE GRAND;51300
926;VAVRAY LE PETIT;51300
927;VERT TOULON;51130
928;VERT TOULON;51130
929;VILLENEUVE LA LIONNE;51310
930;VILLENEUVE RENNEVILLE CHEVIGNY;51130
931;VILLERS AUX BOIS;51130
932;LA VILLE SOUS ORBAIS;51270
933;VILLEVENARD;51270
934;VITRY LE FRANCOIS;51300
935;VRAUX;51150
936;MAGENTA;51530
937;AMBONVILLE;52110
938;ANDELOT BLANCHEVILLE;52700
939;ATTANCOURT;52130
940;AUJEURRES;52190
941;AUTREVILLE SUR LA RENNE;52120
942;AUTREVILLE SUR LA RENNE;52330
943;AVRECOURT;52140
944;BAISSEY;52250
945;BEAUCHEMIN;52260
946;ROCHES BETTAINCOURT;52270
947;BOURBONNE LES BAINS;52400
